ZIPCODE,2020-04-01,2020-04-03,2020-04-04,2020-04-05,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-19,2020-05-20,2020-05-21,2020-05-22,Tested
10001,113,136,146,158,170,178,191,197,201,211,231,238,242,251,254,260,261,266,268,277,285,288,851,299,300,301,303,304,306,309,311,314,313,313,314,314,318,320,321,321,323,327,334,336,338,341,344,1590
10002,250,317,341,360,405,421,456,492,500,539,578,645,666,685,695,712,716,729,733,756,774,780,1962,808,828,832,837,848,862,870,878,890,899,905,907,915,924,930,931,934,936,951,970,978,984,989,994,3234
10003,161,191,198,210,230,238,253,264,267,279,290,323,329,337,342,347,351,355,358,363,367,368,1194,378,381,382,387,389,392,396,399,402,406,407,407,410,413,414,414,420,422,424,426,429,433,434,436,2299
10004,16,19,20,20,20,20,21,22,22,23,23,23,24,24,24,24,25,26,26,26,25,26,87,26,26,26,26,26,27,27,28,28,28,28,28,28,28,28,28,28,28,28,28,29,30,30,30,155
10005,25,28,28,29,32,32,36,36,37,38,40,41,42,44,44,44,44,44,44,45,47,48,182,49,51,52,52,53,54,54,54,54,54,54,54,54,54,54,54,54,55,56,57,58,59,59,59,382
10006,6,7,7,7,8,8,8,8,8,10,11,12,13,14,14,14,14,15,15,15,15,16,77,21,21,21,21,21,21,21,21,21,21,21,21,23,23,23,23,22,22,22,23,23,23,23,23,162
10007,26,28,29,29,30,30,31,32,32,34,35,35,36,37,39,40,41,42,42,42,46,46,186,46,45,45,45,45,47,49,49,48,48,48,48,48,48,48,48,48,48,50,50,50,49,49,49,353
10009,181,236,253,262,298,308,333,348,349,381,407,470,480,494,501,518,522,530,530,547,553,561,1606,579,587,592,597,601,605,607,610,613,614,616,617,625,631,631,631,636,637,646,653,655,657,659,662,2930
10010,101,118,119,121,133,137,150,158,160,166,175,188,190,195,200,201,202,203,204,210,215,216,834,224,225,226,226,228,232,235,234,237,237,239,239,241,241,242,242,242,245,249,251,251,252,253,253,1754
10011,222,255,267,278,308,316,329,341,342,355,365,375,380,384,390,394,398,403,404,411,422,427,1268,449,450,451,452,453,458,460,463,469,471,473,474,476,476,477,478,480,481,486,489,492,493,497,501,2361
10012,68,77,80,85,86,88,91,96,96,98,101,109,113,113,114,116,118,121,121,125,130,133,466,135,136,137,139,140,141,142,145,147,148,149,149,150,150,151,151,152,152,154,155,155,155,155,156,867
10013,122,120,122,124,131,135,140,149,151,161,166,167,170,173,177,179,179,180,181,187,193,194,631,201,207,207,210,212,214,217,217,220,225,225,226,228,229,231,234,234,238,240,245,249,250,251,251,1259
10014,140,163,168,178,186,189,198,205,207,212,216,223,229,230,233,233,235,236,238,240,244,247,730,251,252,252,256,258,263,265,266,269,270,272,273,273,275,275,275,275,275,276,280,283,283,283,284,1371
10016,288,295,311,324,344,354,389,412,417,435,454,470,480,488,496,502,506,515,520,535,539,546,1864,559,566,573,582,587,597,604,605,610,613,615,617,618,622,625,625,625,629,633,637,639,643,643,646,3470
10017,45,59,63,65,74,74,80,83,83,90,95,98,100,105,105,107,108,109,111,113,118,121,454,125,123,125,124,124,125,125,125,125,126,128,128,128,130,130,130,130,130,130,132,132,133,134,134,869
10018,66,97,103,106,116,120,126,140,148,156,159,159,159,163,166,168,168,169,169,175,176,179,524,182,186,186,186,189,187,193,193,193,193,194,194,194,196,196,196,198,198,199,199,200,200,200,200,861
